ABE,TJR,NV,DST,LMAC,OUT
0.607974,0.162775,1,0.522293,97.473611,0
0.809746,0.234375,1,1,57.096114,0
0.555712,0.198975,1,0.494737,-25.042838,0
0.898466,0.268975,1,0.846847,-20.710472,0
0.912069,0.162775,1,0.522293,-19.676162,0
0.892577,0.162775,1,0.522293,-7.637552,0
0.91402,0.1719,1,0.522293,-6.828274,0
0.243699,0.0975,0.110401,1,-2.564127,0
0.224724,0.0975,0.092167,1,-2.320978,0
0.233578,0.0975,0.095147,1,-2.201979,0
0.978918,0.180975,0.582187,0,-0.772485,0
0.977316,0.19,0.610644,1,-0.729262,0
0.974927,0.2079,0.607643,1,-0.699839,0
0.975986,0.2079,0.607643,1,-0.690499,0
0.975818,0.162775,0.579024,1,-0.689649,0
0.974712,0.351975,0.008329,1,-0.669824,0
0.973595,0.351975,0.01796,1,-0.645912,0
0.697356,0.0784,0.459824,1,-0.642929,0
0.737471,0.0975,0.585012,0.973054,-0.608159,0
0.245207,0.0591,0.568316,1,-0.524009,0
0.62241,0.0784,0.504103,1,-0.50919,0
0.960966,0.234375,0.125828,1,-0.455454,0
0.958114,0.3439,0.593236,0.56,-0.43139,0
0.9595,0.335775,0.604927,0.56,-0.412892,0
0.959934,0.1536,0.352121,0.984314,-0.410178,0
0.34928,0.0591,0.539467,1,-0.404248,0
0.95681,0.335775,0.590878,0.56,-0.401545,0
0.955412,0.3439,0.587973,0.56,-0.371119,0
0.953998,0.351975,0.58257,0.56,-0.343233,0
0.952654,0.351975,0.578057,0.56,-0.31112,0
0.979069,0.268975,0.306316,0.923077,-0.288085,0
0.980681,0.251775,0.301802,0.923077,-0.283457,1
0.951411,0.36,0.604124,0.983471,-0.268697,0
0.978957,0.2256,0.351244,0.9625,-0.244762,0
0.941132,0.198975,0.241525,0.906542,-0.185801,0
0.942495,0.19,0.262918,0.906542,-0.152129,0
0.941482,0.2079,0.08046,1,-0.146131,0
0.955158,0.268975,0.067977,0.657795,-0.144134,0
0.939672,0.216775,0.075801,1,-0.136038,0
0.938705,0.302775,0.350149,0.617544,-0.134179,0
0.936915,0.302775,0.350261,0.617544,-0.13319,0
0.936065,0.3111,0.350273,0.617544,-0.133095,0
0.93449,0.319375,0.35028,0.617544,-0.133049,0
0.977407,0.180975,0.091502,1,-0.129369,1
0.975943,0.162775,0.083723,1,-0.120286,1
0.974649,0.162775,0.074991,1,-0.109986,1
0.973499,0.1719,0.066501,1,-0.098467,1
0.972814,0.1719,0.06031,1,-0.087526,1
0.972137,0.180975,0.056158,1,-0.077327,1
0.95241,0.285975,0.125191,0.87931,-0.065624,0
0.116495,0.1536,0.092617,1,-0.045061,0
0.967695,0.216775,0.028608,1,-0.041957,0
0.954263,0.1164,0.354384,0.983193,-0.036319,0
0.965829,0.162775,0.579024,1,-0.035965,0
0.97379,0.268975,0.093185,1,-0.033437,0
0.964602,0.162775,0.579024,1,-0.031081,0
0.950609,0.1536,0.359719,0.96281,-0.030972,0
0.951226,0.1536,0.359719,0.96281,-0.028654,0
0.963407,0.351975,0.01796,1,-0.028637,0
0.954773,0.319375,0.026791,0.962963,-0.028179,0
0.945764,0.285975,0.432139,1,-0.028167,0
0.950808,0.125775,0.356839,0.983193,-0.027234,0
0.946853,0.2256,0.466298,1,-0.026337,0
0.948089,0.1536,0.359719,0.96281,-0.02581,0
0.948673,0.1536,0.359719,0.96281,-0.025663,0
0.94468,0.319375,0.405221,1,-0.025634,0
0.963021,0.1164,0.354542,0.983193,-0.024274,0
0.960737,0.1164,0.356015,0.983193,-0.024174,0
0.951875,0.1536,0.354179,0.96281,-0.022786,0
0.937682,0.2775,0.62835,1,-0.02173,0
0.947965,0.19,0.504597,1,-0.019765,0
0.943597,0.2775,0.377853,1,-0.019744,0
0.973516,0.106975,0.681981,0,-0.01963,1
0.941385,0.2431,0.366712,1,-0.0196,0
0.942492,0.2256,0.395167,1,-0.018344,0
0.949817,0.319375,0.305855,0.617544,-0.01787,0
0.9575,0.125775,0.360478,0.983193,-0.017757,0
0.931489,0.302775,0.384845,1,-0.01756,0
0.929469,0.3111,0.367155,1,-0.017559,0
0.930478,0.319375,0.374289,1,-0.017559,0
0.956858,0.1164,0.36174,1,-0.016049,0
0.949008,0.2944,0.41832,1,-0.015462,0
0.956161,0.3439,0.049189,1,-0.013864,0
0.955513,0.3439,0.049189,1,-0.012265,0
0.965635,0.1719,0.665666,0.983363,-0.011961,0
0.962337,0.4224,0.511003,0.267081,-0.010968,0
0.954838,0.2604,0.042046,1,-0.009986,0
0.950164,0.125775,0.360478,0.983193,-0.007758,0
0.9538,0.2256,0.046447,1,-0.007219,0
0.971766,0.125775,0.675755,0,-0.004702,1
0.987074,0.3916,1,1,0,1
0.992478,0.383775,0.409096,1,0.000086,1
0.959757,0.1536,0.381104,1,0.000395,0
0.982941,0.3276,0.015671,1,0.000425,0
0.194207,0.1164,0.059104,1,0.000652,0
0.636567,0.268975,0.016218,1,0.000724,0
0.989464,0.36,0.424266,1,0.000733,1
0.987986,0.36,1,1,0.000736,0
0.99559,0.2079,0.052329,1,0.000932,0
0.935691,0.302775,0.001629,1,0.000937,0
0.935789,0.302775,0.001629,1,0.000937,0
0.935893,0.2944,0.001629,1,0.000937,0
0.935996,0.2944,0.001629,1,0.000937,1
0.936092,0.2775,0.001629,1,0.000937,1
0.936186,0.2775,0.001629,1,0.000937,1
0.936279,0.2775,0.001629,1,0.000937,1
0.93637,0.2775,0.001629,1,0.000937,1
0.936458,0.2775,0.001629,1,0.000937,1
0.98419,0.2431,0.026115,1,0.000937,0
0.984207,0.234375,0.027521,1,0.000937,1
0.984219,0.234375,0.028254,1,0.000937,1
0.984227,0.234375,0.028615,1,0.000937,1
0.984303,0.488775,0.058829,0.947368,0.000937,0
0.984339,0.488775,0.058829,0.947368,0.000937,0
0.983947,0.2944,0.079012,0.967742,0.000937,0
0.984022,0.19,0.105458,0.967742,0.000937,0
0.984114,0.19,0.105458,0.967742,0.000937,0
0.984385,0.444975,0.228334,1,0.000937,1
0.934079,0.544375,0.228344,1,0.000937,1
0.934192,0.544375,0.228344,1,0.000937,0
0.934302,0.557775,0.228344,1,0.000937,1
0.934408,0.557775,0.228344,1,0.000937,1
0.934513,0.557775,0.228344,1,0.000937,1
0.934614,0.557775,0.228344,1,0.000937,0
0.934721,0.5511,0.228344,1,0.000937,0
0.934823,0.5511,0.228344,1,0.000937,0
0.934922,0.557775,0.228344,1,0.000937,0
0.935025,0.5511,0.228344,1,0.000937,0
0.983604,0.4816,0.228344,1,0.000937,0
0.983631,0.488775,0.228344,1,0.000937,0
0.98366,0.4816,0.228344,1,0.000937,0
0.983688,0.4959,0.228344,1,0.000937,1
0.983717,0.4959,0.228344,1,0.000937,0
0.983749,0.488775,0.228344,1,0.000937,1
0.983782,0.488775,0.228344,1,0.000937,1
0.983815,0.4816,0.228344,1,0.000937,1
0.983848,0.488775,0.228344,1,0.000937,1
0.98388,0.4816,0.228344,1,0.000937,1
0.98391,0.4816,0.228344,1,0.000937,1
0.983938,0.474375,0.228344,1,0.000937,0
0.983964,0.474375,0.228344,1,0.000937,0
0.983988,0.4816,0.228344,1,0.000937,1
0.984013,0.4816,0.228344,1,0.000937,1
0.984039,0.4671,0.228344,1,0.000937,1
0.984065,0.4671,0.228344,1,0.000937,1
0.984093,0.459775,0.228344,1,0.000937,1
0.984123,0.459775,0.228344,1,0.000937,1
0.98415,0.4524,0.228344,1,0.000937,1
0.984175,0.4524,0.228344,1,0.000937,1
0.984199,0.4524,0.228344,1,0.000937,1
0.984221,0.444975,0.228344,1,0.000937,1
0.984242,0.444975,0.228344,1,0.000937,1
0.984264,0.4524,0.228344,1,0.000937,0
0.984284,0.4524,0.228344,1,0.000937,1
0.984299,0.4524,0.228344,1,0.000937,1
0.984312,0.4524,0.228344,1,0.000937,1
0.984324,0.4524,0.228344,1,0.000937,1
0.984333,0.459775,0.228344,1,0.000937,1
0.984341,0.4524,0.228344,1,0.000937,1
0.984353,0.459775,0.228344,1,0.000937,1
0.984364,0.444975,0.228344,1,0.000937,1
0.984372,0.4375,0.228344,1,0.000937,1
0.984374,0.429975,0.228344,1,0.000937,1
0.984376,0.4375,0.228344,1,0.000937,1
0.984406,0.429975,0.228344,1,0.000937,1
0.984386,0.429975,0.228345,1,0.000937,1
0.935122,0.5511,0.230922,1,0.000937,1
0.93522,0.5511,0.23747,1,0.000937,0
0.935457,0.544375,0.248156,1,0.000937,0
0.983804,0.36,0.027822,0.967742,0.000938,1
0.983877,0.36,0.052267,0.967742,0.000938,0
0.983753,0.2944,0.012294,1,0.000939,1
0.983665,0.1536,0.07895,1,0.000943,0
0.982786,0.3111,0.016046,1,0.000964,0
0.959914,0.144375,0.381104,1,0.001194,1
0.930084,0.029775,0.028943,0,0.001248,1
0.983092,0.335775,0.015439,1,0.001281,0
